Title,Artists,Song URL
Stay,"Rihanna, Mikky Ekko",https://open.spotify.com/track/789CxjEOtO76BVD1A9yJQH
All of Me,John Legend,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
TV,Billie Eilish,https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw
Die For You,Joji,https://open.spotify.com/track/26hOm7dTtBi0TdpDGl141t
Dream On,Aerosmith,https://open.spotify.com/track/3tAQNhm1o0kzldsI5QkrB1
Evergreen (You Didn't Deserve Me At All),Omar Apollo,https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33
Dawns (feat. Maggie Rogers),"Zach Bryan, Maggie Rogers",https://open.spotify.com/track/42TtHTxWk782ZBiqyOi2d1
Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR
Blind,SZA,https://open.spotify.com/track/2CSRrnOEELmhpq8iaAi9cd
Kesariya,"Pritam, Arijit Singh, Amitabh Bhattacharya",https://open.spotify.com/track/4UMIv5jd9gK98a39BQRD9X
drivers license,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
Memories,Maroon 5,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
Shallow,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
Wrecking Ball,Miley Cyrus,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE
Stay With Me,Sam Smith,https://open.spotify.com/track/5MxWTfmlmRDx6VZHvB9xV8
Snow On The Beach (feat. La Del Rey),"Taylor Swift, La Del Rey",https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h
Bohemian Rhapsody - Remastered 2011,Queen,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
Happy New Year,ABBA,https://open.spotify.com/track/4AsvGVDWs16fqIiIdDzyvX
It's Beginning to Look a Lot like Christmas,Michael Bublé,https://open.spotify.com/track/1rv46mRwDqMEhOBZ7vODg3
It's the Most Wonderful Time of the Year,Andy Williams,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
A Holly Jolly Christmas,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
Blue Christmas,Elvis Presley,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
Deck The Hall,Nat King Cole,https://open.spotify.com/track/0rHToGels2lt8Y0mCYoF90
Deck The Halls,Nat King Cole,https://open.spotify.com/track/0rHToGels2lt8Y0mCYoF90
Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sitra,https://open.spotify.com/track/2FPfeYlrbSBR8PwCU0zaqq
Holly Jolly Christmas,Michael Bublé,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
Jingle Bells - Remastered 1999,Frank Sitra,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
Please Come Home for Christmas - 2013 Remaster,Eagles,https://open.spotify.com/track/3QIoEi8Enr9uHffwInGIsC
Thank God It's Christmas - Non-Album Single,Queen,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
The Christmas Song (Merry Christmas To You),Nat King Cole,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,https://open.spotify.com/track/0hvN2v6fAcB6xWyW7UaooA
"A Holly Jolly Christmas - From ""Rudolph The Red-Nosed Reindeer"" Soundtrack",Burl Ives,https://open.spotify.com/track/7MOBQpfxrtjPu5hYT21yaG
Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl
Baby It's Cold Outside (with Michael Bublé),"Idina Menzel, Michael Bublé",https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl
"Baby, It's Cold Outside",Dean Martin,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge, Meghan Trainor",https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
Carol of the Bells,"Mykola Dmytrovych Leontovych, John Williams",https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
"Caroling, Caroling",Nat King Cole,https://open.spotify.com/track/11Z7sdkpC5IaaydoIvDn74
Christmas Time Is Here,Vince Guaraldi Trio,https://open.spotify.com/track/3bMfUUpzUzqWp9II00yRhE
Cool Yule,"Louis Armstrong, The Commanders",https://open.spotify.com/track/33GkcZ89Aj254FaJoFwCl9
"Cuddle Up, Cozy Down Christmas","Dolly Parton, Michael Bublé",https://open.spotify.com/track/6SvzJUQd3FnuOJI1KWl9hq
Do You Hear What I Hear?,Bing Crosby,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH
God Rest Ye Merry Gentlemen,Bing Crosby,https://open.spotify.com/track/6Uekkm0MOVT4WznQy0ktVR
Hallelujah,Pentatonix,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
Happy Holiday / The Holiday Season,Andy Williams,https://open.spotify.com/track/1Wf14bTyb6UeKojy8ykPYm
Have Yourself A Merry Little Christmas,Sam Smith,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
Have Yourself A Merry Little Christmas,Judy Garland,https://open.spotify.com/track/1fEo7EnPl1LEn0CAy1xPL5
Have Yourself a Merry Little Christmas,Michael Bublé,https://open.spotify.com/track/1DnSNqCQM3LUxqFuXt184Q
Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,https://open.spotify.com/track/7n7VsX3sv66znBwA8b5uhp
I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey,https://open.spotify.com/track/5P8Xvy5tzhmfyfA6GplQ8h
I'll Be Home,Meghan Trainor,https://open.spotify.com/track/0lTurWECr2XL607eJAj1A3
I'll Be Home for Christmas,Michael Bublé,https://open.spotify.com/track/0tXPhc8LvM4dPvoRwI66XQ
I'll Be Home For Christmas - Single Version,Bing Crosby,https://open.spotify.com/track/1fjOitI0vZ41P63p1MQLcc
It's Beginning To Look A Lot Like Christmas,Bing Crosby,https://open.spotify.com/track/1uh1iaMqBdx4XyrXhssKGD
It's Beginning to Look Like Christmas,Johnny Mathis,https://open.spotify.com/track/4jwZZX8J8eN3w0FOK4FCI3
Joy To The World,Nat King Cole,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu
Let It Snow! - 10th Anniversary,Michael Bublé,https://open.spotify.com/track/2EmEXCi8ue7p5Xqmqz10kW
Linus And Lucy,Vince Guaraldi Trio,https://open.spotify.com/track/33EcmYsTQVIGRGnGPOfTwu
Lonely This Christmas,Mud,https://open.spotify.com/track/5DMItYJluCFc7YtFdP4aXo
Mele Kalikimaka - Single Version,"Bing Crosby, The Andrews Sisters",https://open.spotify.com/track/1GQ3cCJMAhLqWARyVZWxnO
Merry Christmas Baby,Otis Redding,https://open.spotify.com/track/4STCTQ1h0VuWfvDyhGOxkv
Merry Christmas Darling - Remix,Carpenters,https://open.spotify.com/track/0z5HSQGWgnjdNvwbOmhB2w
Mistletoe And Holly - Remastered 1999,Frank Sitra,https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ
Mistletoe and Wine,Cliff Richard,https://open.spotify.com/track/3AgiRs3oxc2dFh0CPUHXJs
O Come All Ye Faithful,Nat King Cole,https://open.spotify.com/track/0H1zX27yxoDrsrQA1hk5Uq
O Tannenbaum,Vince Guaraldi Trio,https://open.spotify.com/track/4YhY2qHdBmSX33uj8ms0oq
Rudolph The Red-Nosed Reindeer,Dean Martin,https://open.spotify.com/track/2L9QLAhrvtP4EYg1lY0Tnw
Rudolph The Red-Nosed Reindeer,Burl Ives,https://open.spotify.com/track/47otoIkhx3fkdivEXL5OB6
Rudolph the Red-Nosed Reindeer,Gene Autry,https://open.spotify.com/track/1dtIaSlyrLI04sqYa8nLyN
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri Rene & His Orchestra",https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri René and His Orchestra",https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
Santa Claus Is Comin' to Town,Frank Sitra,https://open.spotify.com/track/6YeDjSHCDmJKgU8foiaruL
Santa Claus Is Coming to Town,Michael Bublé,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
Silent Night - 1999 Remaster,Frank Sitra,https://open.spotify.com/track/5yNgdD8E6WruhULb4n2Con
Silver Bells,Dean Martin,https://open.spotify.com/track/4QX5pZQpQTgVlkqfUTDim0
Silver Bells,"Bing Crosby, Carol Richards",https://open.spotify.com/track/7ehhnVu3JUWMaSJzY1zC4k
Sleigh Ride,Ella Fitzgerald,https://open.spotify.com/track/4ukUoXLuFzMixyZyabSGc4
Someday At Christmas,Stevie Wonder,https://open.spotify.com/track/2X5noCM9Klrm4zXfyyPdRN
The Christmas Song (Chestnuts Roasting On An Open Fire),"Justin Bieber, Usher",https://open.spotify.com/track/3eYnKe0LhQA1B5HEkQaRTP
When a Child Is Born,Johnny Mathis,https://open.spotify.com/track/39CZ2qjYxtqUdTh8mqwqzy
Winter Wonderland,Tony Bennett,https://open.spotify.com/track/1yxcKrEcxt4O03IIC25yHk
Winter Wonderland - Remastered,Bing Crosby,https://open.spotify.com/track/3pdQTWpq09XCBosbTtYIiZ
All I Want (For Christmas),Liam Payne,https://open.spotify.com/track/0JM8LI4HxrQs2Reqr2naYo
All I Want for Christmas Is You,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ
The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,https://open.spotify.com/track/66VenHDtrQAw7FCjyF2J56
The Christmas Song (Shawn Mendes & Camila Cabello),"Shawn Mendes, Camila Cabello",https://open.spotify.com/track/66VenHDtrQAw7FCjyF2J56
Love Language,SZA,https://open.spotify.com/track/1eIXYZWEfJO3Na2LCCnIJE
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",https://open.spotify.com/track/4h5x3XHLVYFJaItKuO2rhy
Open Arms (feat. Travis Scott),"SZA, Travis Scott",https://open.spotify.com/track/6koKhrBBcExADvWuOgceNZ
SOS,SZA,https://open.spotify.com/track/5xMw6qCcpd2gBXPGTegC4W
Special,SZA,https://open.spotify.com/track/6RQ5IwG7uADz9LDWliJGjU
Gone Girl,SZA,https://open.spotify.com/track/2Sjx8DWZO5zaTyTAmgo2gY
I Hate U,SZA,https://open.spotify.com/track/2aJnyNu4PQxQ2lyj5boiMG
Far,SZA,https://open.spotify.com/track/74NI58MQexwZjNu1Gu6GjT
On Time (with John Legend),"Metro Boomin, John Legend",https://open.spotify.com/track/0YFqKxV9uNu6LUeYkLOKRS
Happier Than Ever,Billie Eilish,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
traitor,Olivia Rodrigo,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33
Mastermind,Taylor Swift,https://open.spotify.com/track/7FmYn9e7KHMXcxqGSj9LjH
Labyrinth,Taylor Swift,https://open.spotify.com/track/0A1JLUlkZkp2EFrosoNQi0
Sweet Nothing,Taylor Swift,https://open.spotify.com/track/0wavGRldH0AWyu2zvTz8zb
Jingle Bells - Remastered 1999,Frank Sinatra,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL
Con La Brisa,"Foudeqush, Ludwig Göransson",https://open.spotify.com/track/2LSsSV7V33wM9EKQA2xjGS
My Mind & Me,Selena Gomez,https://open.spotify.com/track/0XER3HPMx223xWaAgNKp4Y
Bigger Than The Whole Sky,Taylor Swift,https://open.spotify.com/track/3jzbpOzoYa22FvzBkNkLvC
Hours In Silence,"Drake, 21 Savage",https://open.spotify.com/track/0sSRLXxknVTQDStgU1NqpY
Born Again,Rihanna,https://open.spotify.com/track/18zQTt3ifDv6iLni2YuXMg
we fell in love in october,girl in red,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl
I Guess It’s Fuck Me,Drake,https://open.spotify.com/track/31bsuKDOzFGzBAoXxtnAJm
High Infidelity,Taylor Swift,https://open.spotify.com/track/4356PL6jkERzJouVfQQkZo
Before The Day Is Over,Joji,https://open.spotify.com/track/7zBscbZUCr4jEABrfV9g03
NIGHT RIDER,Joji,https://open.spotify.com/track/1c39AwcrkN9srI7Az5662I
1AM FREESTYLE,Joji,https://open.spotify.com/track/0FqBNLXlTNimxmVRdDMj6b
Dissolve,Joji,https://open.spotify.com/track/4DYKah8mcZf0O4l9Gt7woU
BIENVENIDA AL PARAÍSO,Mora,https://open.spotify.com/track/6v3fbkLKRH6jsa6dho9ocx
EIVISSA,"Mora, Danny Ocean",https://open.spotify.com/track/3kcj2zzabr8qnR4MnMeWv2
Dear Reader,Taylor Swift,https://open.spotify.com/track/7lFNXsbcbds699xCWO3pSe
Static,Steve Lacy,https://open.spotify.com/track/4OmfWzukSVD140NiAIEjem
Sparks,Coldplay,https://open.spotify.com/track/7D0RhFcb3CrfPuTJ0obrod
This Is Halloween - Soundtrack,The Citizens of Halloween,https://open.spotify.com/track/4a9RlnJ0v1T7HgLtps1HvI
I Put a Spell On You,Screamin' Jay Hawkins,https://open.spotify.com/track/3sLhMSePzxSrmxluIqeoAZ
Lift Me Up - Instrumental,Rihanna,https://open.spotify.com/track/1Jb0BvBueT6TBcZKIRWoJ6
Yours,JIN,https://open.spotify.com/track/66sBTYlkaiyBwf4fhbIHlZ
august,Taylor Swift,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
deja vu,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
Body Paint,Arctic Monkeys,https://open.spotify.com/track/7A7FsIDnBMnz1PAnSOxUdh
I Ain't Quite Where I Think I Am,Arctic Monkeys,https://open.spotify.com/track/1UwUhKmFxGKs59xiWO60Sx
There'd Better Be A Mirrorball,Arctic Monkeys,https://open.spotify.com/track/1zx6GSqLYI2ynzAHnPRKBR
Big Ideas,Arctic Monkeys,https://open.spotify.com/track/4KPi4VNvPOfKqIp1sx19Xf
Hello You,Arctic Monkeys,https://open.spotify.com/track/5ygEUpyZy5qtZ1423zymBW
Jet Skis On The Moat,Arctic Monkeys,https://open.spotify.com/track/2HReNSxrMRcJ0cYMzKAJK6
Sculptures Of Anything Goes,Arctic Monkeys,https://open.spotify.com/track/5hljqZrl0h7RcIhUnOPuve
The Car,Arctic Monkeys,https://open.spotify.com/track/0C6dSPCqwKqwos6s1CrDrh
Forever (feat. Fridayy),"Lil Baby, Fridayy",https://open.spotify.com/track/1T4k0sw0HldDg004Kw4Oct
Hotel,Montell Fish,https://open.spotify.com/track/0JzG1wJuB4v9UPkSE7LMXi
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ
Belki,"Dedublüman, Mavzer Tabancas",https://open.spotify.com/track/5ATwkalJ9FnLp7Zcvxo1rl
The Scientist,Coldplay,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
The Happiest Girl,BLACKPINK,https://open.spotify.com/track/7AdGloF1UHKe1vAZPbqIXH
happier,Olivia Rodrigo,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
Matilda,Harry Styles,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
Un Verano Sin Ti,Bad Bunny,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
The 30th,Billie Eilish,https://open.spotify.com/track/5SHpuW2qjkQtFRpE6P9Nks
SLOW DANCING IN THE DARK,Joji,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
Heartbreak Anniversary,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
LOOSE CHANGE,Brent Faiyaz,https://open.spotify.com/track/00imgaPlYRrMGn9o83hfmk
DEAD MAN WALKING,Brent Faiyaz,https://open.spotify.com/track/2c2tlXfEmLgUNvxngIi1qL
GHETTO GATSBY (FEAT. ALICIA KEYS),"Brent Faiyaz, Alicia Keys",https://open.spotify.com/track/2krESug6AyfOL07tlaGwts
HEAL YOUR HEART (INTERLUDE),Brent Faiyaz,https://open.spotify.com/track/6MF5JoJYj5uK07Si6fRAPM
PRICE OF FAME,Brent Faiyaz,https://open.spotify.com/track/4xKQtLZn8m2d2KJy13ZujE
ROLLING STONE,Brent Faiyaz,https://open.spotify.com/track/0e0JshRej2NwT7jahEmv52
VILLAIN'S THEME,Brent Faiyaz,https://open.spotify.com/track/4lfAwGFU3Zo2ZruXzRG8tw
Little Freak,Harry Styles,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
Love Of My Life,Harry Styles,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
favorite crime,Olivia Rodrigo,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
Tak Ingin Usai,Keisya Levronka,https://open.spotify.com/track/1b0aDgrG775i4sPQgJGmkU
Caroli - From The Motion Picture â€œWhere The Crawdads Singâ€,Taylor Swift,https://open.spotify.com/track/4axSuOg3BqsowKjRpj59RU
Calling My me,Drake,https://open.spotify.com/track/7sT7kZEYd1MrmzLLIRVZas
A Keeper,Drake,https://open.spotify.com/track/0nAZGkBGKQCXyaoSJfRhC1
Flight's Booked,Drake,https://open.spotify.com/track/23Z3bbYcl1PdcPJemLa4zc
Overdrive,Drake,https://open.spotify.com/track/1MJHXJ8bdoynpEtCLCbkWf
Down Hill,Drake,https://open.spotify.com/track/0PKpNkxX3FkcfgxCQUXXds
Intro,Drake,https://open.spotify.com/track/5lVmzrKaqPpPYtF7udoiNq
Boyfriends,Harry Styles,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
Hope,XXXTENTACION,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
Intro: Singularity,BTS,https://open.spotify.com/track/5rNZsITjXf23iFkRA924FV
Reputation,Post Malone,https://open.spotify.com/track/67dU06KGaJHLLlo5Y5bkD2
Wasting Angels (with The Kid LAROI),"Post Malone, The Kid LAROI",https://open.spotify.com/track/2OcSE0EXzgUuqkM1NIJPHJ
San Lucas,Kevin Kaarl,https://open.spotify.com/track/75UMtPC77vqKRwfSuYuNPO
Waiting For A Miracle,Post Malone,https://open.spotify.com/track/2GUSz3vtf8jhVXri1CTrQX
"New Recording 12, Jan 3, 2020",Post Malone,https://open.spotify.com/track/0lmRKkc33g1N9fWW9nZPVc
Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
With you,"Jimin, HA SUNG WOON",https://open.spotify.com/track/2gzhQaCTeNgxpeB2TPllyY
Worldwide Steppers,Kendrick Lamar,https://open.spotify.com/track/5p56JT5F9a1z9pwXnqTg7d
Crown,Kendrick Lamar,https://open.spotify.com/track/2IwbW2jd0Ncv99Aroe77Ru
Rich - Interlude,Kendrick Lamar,https://open.spotify.com/track/2Az5ykbQiZtFWtACCMvWlP
Auntie Diaries,Kendrick Lamar,https://open.spotify.com/track/19Fg3WrTfo35Ji3PtfZE6J
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",https://open.spotify.com/track/6NZOc8kO0Fxo0fLPvIdLnW
De Diepte,S10,https://open.spotify.com/track/7uQ7e7nzbtyX87eIYHpj6Z
Something In The Way,Nirvana,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
Trust Fund Baby,TOMORROW X TOGETHER,https://open.spotify.com/track/20pl0RVGT7P6L1Jr9p51nw
Bored,Billie Eilish,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
LA FAMA,"ROSALÍA, The Weeknd",https://open.spotify.com/track/6Y46tOTRhkBamosyuWa6YX
birthday cake,Dylan Conrique,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme
Don't Think Jesus,Morgan Wallen,https://open.spotify.com/track/1TUuhV75FeOF6UObRsABo2
Hati-Hati di Jalan,Tulus,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
That's Hilarious,Charlie Puth,https://open.spotify.com/track/1jIMjbzcGCcCQn5iMu9CUc
CANDY,ROSALÍA,https://open.spotify.com/track/70AYiGbc4mWZGEqiipBBDb
chaotic,Tate McRae,https://open.spotify.com/track/2bdqU7C4softKNcMYDFi96
