Title,Artists,Song URL
Demons,Imagine Dragons,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR
Car's Outside,James Arthur,https://open.spotify.com/track/0otRX6Z89qKkHkQ9OqJpKt
Gangsta's Paradise,"Coolio, L.V.",https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
Mourning,Post Malone,https://open.spotify.com/track/0gWrMbx6pbdH3n3nsLjE55
Lose Yourself,Eminem,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
Proud Mary,Tina Turner,https://open.spotify.com/track/6gJdDnF2TzfA1WPMXuCa3x
Queen of Kings,Alessandra,https://open.spotify.com/track/14LdhxElpZS0rKVV4nxtdA
In the End,Linkin Park,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
I Love You So,The Walters,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
My Universe,"Coldplay, BTS",https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",https://open.spotify.com/track/0FA4wrjDJvJTTU8AepZTup
Call Out My Name,The Weeknd,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
Take Me To Church,Hozier,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
Unicorn,Noa Kirel,https://open.spotify.com/track/6dUregFbvUNqHP5nphqesK
Like Crazy (English Version),Jimin,https://open.spotify.com/track/0u8rZGtXJrLtiSe34FPjGG
Double Fantasy (with Future),"The Weeknd, Future",https://open.spotify.com/track/4VMRsbfZzd3SfQtaJ1Wpwi
Curtains,Ed Sheeran,https://open.spotify.com/track/6ZZf5a8oiInHDkBe9zXfLP
Don't ever say love me (feat. RM of BTS),"Colde, RM",https://open.spotify.com/track/34o6gteNy2T5rieA0xYAgo
LosT,Bring Me The Horizon,https://open.spotify.com/track/5BgnL6gHauuvxe4Ok6W1aC
The Hills,The Weeknd,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
Before You Go,Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
Call Out My me,The Weeknd,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
Don't Blame Me,Taylor Swift,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
Just Wan Rock,Lil Uzi Vert,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d
Miracle (with Ellie Goulding),Calvin Harris Ellie Goulding,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ
