Title,Artists,Danceability,Energy,Loudness_fixed,Speechiness,Acousticness,Instrumentalness,Valence,Song URL,Cluster
Love Again,The Kid LAROI,0.662,0.398,-6.691,0.028,0.716,0.0,0.468,https://open.spotify.com/track/4sx6NRwL6Ol3V6m9exwGlQ,2
Die 4 Me,Halsey,0.694,0.743,-4.267,0.083,0.355,0.0,0.554,https://open.spotify.com/track/6VYAzAQGFsfEAwdorQaZuU,0
I Wrote The Book,Morgan Wallen,0.692,0.808,-3.757,0.04,0.083,0.0,0.802,https://open.spotify.com/track/7phmBo7bB9I9YifAXqnlqV,0
Woman,Doja Cat,0.824,0.764,-4.175,0.085,0.089,0.003,0.881,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,0
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",0.498,0.764,-5.006,0.031,0.123,0.0,0.489,https://open.spotify.com/track/73zawW1ttszLRgT9By826D,4
Thought You Should Know,Morgan Wallen,0.53,0.678,-0.00616,0.028,0.506,0.0,0.508,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb,4
 '98 Braves,Morgan Wallen,0.488,0.67,-5.759,0.027,0.097,0.0,0.484,https://open.spotify.com/track/3oZ6dlSfCE9gZ55MGPJctc,4
Shirt,SZA,0.848,0.512,-0.00772,0.102,0.228,0.002,0.572,https://open.spotify.com/track/2wSTnntOPRi7aQneobFtU4,0
Sunrise,Morgan Wallen,0.613,0.765,-5.058,0.032,0.259,0.0,0.343,https://open.spotify.com/track/0JtgoDDf0ggWaoXCGhcOoT,4
Sure Thing - Sped Up,Miguel,0.753,0.458,-0.01252,0.123,0.081,0.004,0.662,https://open.spotify.com/track/559SdaPI7mqy9IQiscuaMj,0
Born With A Beer In My Hand,Morgan Wallen,0.531,0.81,-5.475,0.04,0.05,0.0,0.608,https://open.spotify.com/track/1BAU6v0fuAV914qMUEESR1,4
Devil Don't Know,Morgan Wallen,0.53,0.664,-5.648,0.027,0.377,0.0,0.323,https://open.spotify.com/track/2PsbT927UanvyH9VprlNOu,4
GATÚBELA,"KAROL G, Maldy",0.853,0.859,-0.00268,0.306,0.257,0.0,0.325,https://open.spotify.com/track/6Vn1vje8yMw2OY6IOk9dkH,1
Hope That's True,Morgan Wallen,0.586,0.838,-4.892,0.037,0.163,0.0,0.776,https://open.spotify.com/track/2Ej3iV0nulryy9S3UQvjSx,0
Tennessee Numbers,Morgan Wallen,0.425,0.738,-5.368,0.034,0.049,0.002,0.267,https://open.spotify.com/track/5NzfnUyVaNrxa2VtoyBWlR,4
TUS GAFITAS,KAROL G,0.821,0.696,-5.796,0.043,0.315,0.0,0.566,https://open.spotify.com/track/3gOI5aQD4mOMLsP3aWrkon,3
Whiskey Friends,Morgan Wallen,0.544,0.826,-3.848,0.029,0.063,0.0,0.596,https://open.spotify.com/track/2ewSCWOL7EAjgmgqfI1UlS,4
F150-50,Morgan Wallen,0.541,0.754,-5.453,0.028,0.065,0.0,0.37,https://open.spotify.com/track/77kye8TttXpEbvgoiVjZdo,4
In The Bible (feat. HARDY),"Morgan Wallen, HARDY",0.488,0.806,-4.451,0.029,0.012,0.0,0.509,https://open.spotify.com/track/2aw1aEAxMe05MZIS5XiK8U,4
Keith Whitley,Morgan Wallen,0.322,0.693,-4.366,0.028,0.088,0.0,0.228,https://open.spotify.com/track/1vcJdUJDM2NVXBsGncmLyh,4
Neon Star (Country Boy Lullaby),Morgan Wallen,0.704,0.677,-6.135,0.029,0.426,0.0,0.715,https://open.spotify.com/track/1GiwvmI57OTGcKGNigZFJb,0
Rush,Ayra Starr,0.792,0.503,-8.044,0.063,0.037,0.001,0.381,https://open.spotify.com/track/1xs8bOvm3IzEYmcLJVOc34,3
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0.637,0.715,-4.971,0.046,0.148,0.0,0.308,https://open.spotify.com/track/38T0tPVZHcPZyhtOcCP7pF,4
BESTIES,KAROL G,0.779,0.825,-3.366,0.306,0.146,0.0,0.654,https://open.spotify.com/track/7eTv2OTr3aY5iKtFdBusoA,1
GUCCI LOS PAÑOS,KAROL G,0.791,0.45,-3.001,0.039,0.542,0.0,0.87,https://open.spotify.com/track/3CNbrXrUrEARw8zeKNCdYo,0
MAÑA SERÁ BONITO,"KAROL G, Carla Morrison",0.777,0.715,-4.569,0.087,0.455,0.0,0.245,https://open.spotify.com/track/4bycD60yZgR6anIBtmU8UH,3
Facilita Aí,Zé Felipe,0.781,0.845,-2.948,0.042,0.32,0.0,0.968,https://open.spotify.com/track/4bT4Gbs7FA4cLyZeKtlGVO,0
CENERE,Lazza,0.652,0.628,-6.529,0.107,0.305,0.0,0.317,https://open.spotify.com/track/0mHC3BK9vFGoEU0EcGPWRZ,3
Don't Start Now,Dua Lipa,0.793,0.793,-4.521,0.083,0.012,0.0,0.679,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,0
KÁRMIKA,"KAROL G, Bad Gyal, Sean Paul",0.876,0.64,-5.264,0.392,0.468,0.0,0.729,https://open.spotify.com/track/3mFNc5EQn30irR983Wg9OD,1
OJOS FERRARI,"KAROL G, Justin Quiles, Angel Dior",0.9,0.707,-2.792,0.093,0.161,0.0,0.634,https://open.spotify.com/track/5yAIrkplUEpMNeojW8Q30o,0
Te Felicito,"Shakira, Rauw Alejandro",0.695,0.636,-4.654,0.317,0.234,0.0,0.575,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt,1
Bëttr 0ff,Yeat,0.731,0.532,-9.815,0.074,0.002,0.0,0.37,https://open.spotify.com/track/0r9ZhD7QEbIAcvfhDkIsdV,3
DAÑAMOS LA AMISTAD,"KAROL G, Sech",0.758,0.786,-4.847,0.093,0.167,0.0,0.592,https://open.spotify.com/track/3jUDqkHatwtprUmZ8epP8P,0
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0.247,0.299,-6.083,0.032,0.899,0.0,0.172,https://open.spotify.com/track/6sCvvleqKbeyOkQDieBYgp,2
Lost,Linkin Park,0.596,0.798,-0.00463,0.029,0.004,0.0,0.459,https://open.spotify.com/track/373gDROnujxNTFa1FojYIl,4
No morë talk,Yeat,0.76,0.53,-8.178,0.21,0.003,0.0,0.486,https://open.spotify.com/track/7qPiAhk71D2RqLRtnjDL76,3
Shmunk (feat. YoungBoy Never Broke Again),"Yeat, YoungBoy Never Broke Again",0.744,0.647,-7.301,0.111,0.02,0.0,0.096,https://open.spotify.com/track/2fpTRcMLt4aKlqULOwuXUP,3
Split,Yeat,0.718,0.585,-10.263,0.27,0.0,0.009,0.636,https://open.spotify.com/track/3HqGDrSOZ6LbBfX5EsiaAj,1
Glue Song,beabadoobee,0.62,0.409,-10.146,0.028,0.77,0.054,0.582,https://open.spotify.com/track/3iBgrkexCzVuPy4O9vx7Mf,2
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris Jessie Reyez",0.698,0.895,-4.439,0.063,0.172,0.0,0.838,https://open.spotify.com/track/3i0FkJYlU4MFfYkjFHXXAM,0
I'm Not The Only One,Sam Smith,0.677,0.485,-5.795,0.036,0.529,0.0,0.493,https://open.spotify.com/track/5QM0SsyzmBM0pbFY52Xj1X,3
LLYLM,ROSALÍA,0.555,0.634,-5.522,0.273,0.129,0.0,0.555,https://open.spotify.com/track/2SiAcexM2p1yX6joESbehd,1
Only Girl (In The World),Rihanna,0.789,0.706,-4.233,0.043,0.112,0.0,0.638,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,0
After Dark,Mr.Kitty,0.578,0.6,-10.491,0.032,0.068,0.417,0.039,https://open.spotify.com/track/5FkJHVudUByVjanCqFXRql,4
Stay,"Rihanna, Mikky Ekko",0.621,0.31,-10.164,0.028,0.945,0.0,0.125,https://open.spotify.com/track/789CxjEOtO76BVD1A9yJQH,2
Bitch Better Have My Money,Rihanna,0.781,0.728,-4.981,0.062,0.051,0.0,0.395,https://open.spotify.com/track/0NTMtAO2BV4tnGvw9EgBVq,3
Muñecas,"TINI, La Joaqui, Steve Aoki",0.688,0.712,-4.791,0.083,0.029,0.0,0.852,https://open.spotify.com/track/4yPmTUkWmUfLPQLCccp0DR,0
Ai Papai,"Anitta, Mc Danny, HITMAKER",0.73,0.966,-1.794,0.062,0.081,0.0,0.891,https://open.spotify.com/track/4PQ5AInr4YoBauth9YPduL,0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS, FIFA Sound",0.71,0.879,-4.218,0.042,0.158,0.001,0.341,https://open.spotify.com/track/1RDvyOk4WtPCtoqciJwVn8,4
"Hey, Mickey!",Baby Tate,0.912,0.507,-11.952,0.059,0.579,0.0,0.725,https://open.spotify.com/track/3RKjTYlQrtLXCq5ncswBPp,3
Where Have You Been,Rihanna,0.719,0.847,-0.00634,0.092,0.002,0.02,0.444,https://open.spotify.com/track/1uN0f4NqMDcReSwXO6PLuG,0
Coração de Gelo,WIU,0.732,0.671,-4.276,0.082,0.124,0.0,0.836,https://open.spotify.com/track/7nFvKgVumc9FcU97zGjjei,0
Luz do Luar,"Mc Tato, DJ Ak beats",0.627,0.754,-2.505,0.03,0.437,0.0,0.786,https://open.spotify.com/track/6eNRGL6Nkdg7RhJtmbcl0j,0
Puta Mexica,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa, Mc Pelé",0.853,0.913,0.000963,0.051,0.655,0.024,0.952,https://open.spotify.com/track/4mD9hjoTckjeL1CrJCx0MT,0
Roça Em Mim,"Zé Felipe, A Castela, Luan Pereira",0.846,0.81,-3.332,0.087,0.222,0.0,0.762,https://open.spotify.com/track/2hkwwmmLC90T8BQ7t3xufq,0
Saudade da Minha Vida - Ao Vivo,Gusttavo Lima,0.509,0.935,-3.627,0.071,0.108,0.0,0.769,https://open.spotify.com/track/51FFbyL0PjkYtjXJQP0JoP,0
SUPEREROI,Mr.Rain,0.47,0.619,-7.617,0.051,0.228,0.0,0.453,https://open.spotify.com/track/42koUxIEdY4kVqcLRjp6uE,4
Rude Boy,Rihanna,0.563,0.75,-4.496,0.124,0.111,0.0,0.811,https://open.spotify.com/track/180tYOjVoVnuDFZdTzgQRe,0
Run This Town,"JAY-Z, Rihanna, Kanye West",0.632,0.924,-1.802,0.29,0.281,0.0,0.441,https://open.spotify.com/track/7LR85XLWw2yXqKBSI5brbG,0
Si Me Sobrara el Tiempo,Duki,0.733,0.822,-3.842,0.077,0.031,0.0,0.348,https://open.spotify.com/track/2ypbIXW3a7fsLdLtLpZWDZ,4
TRUSTFALL,P!nk,0.636,0.888,-3.889,0.095,0.002,0.0,0.25,https://open.spotify.com/track/4FWbsd91QSvgr1dSWwW51e,4
Work,"Rihanna, Drake",0.725,0.534,-6.238,0.095,0.075,0.0,0.558,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt,3
Needed Me,Rihanna,0.671,0.314,-8.091,0.244,0.11,0.0,0.296,https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3,3
S&M,Rihanna,0.769,0.684,-5.019,0.041,0.011,0.0,0.835,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D,0
Don't Stop The Music,Rihanna,0.835,0.669,-5.582,0.064,0.034,0.0,0.542,https://open.spotify.com/track/1Jo0Zg7XlrA6z0mFTZVdkn,3
Love The Way You Lie,"Eminem, Rihanna",0.749,0.925,-5.034,0.227,0.241,0.0,0.641,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,0
Pour It Up,Rihanna,0.785,0.478,-8.735,0.042,0.025,0.0,0.39,https://open.spotify.com/track/5r67bGhYXZNqk2m2Wupfmu,3
All of Me,John Legend,0.422,0.264,-7.064,0.032,0.922,0.0,0.331,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,2
Escapism. - Sped Up,"RAYE, 070 Shake",0.435,0.768,-5.352,0.201,0.086,0.0,0.378,https://open.spotify.com/track/4rPJSqrov3zqGwXlemLBMw,4
IL BENE NEL MALE,Madame,0.829,0.703,-8.672,0.057,0.226,0.034,0.615,https://open.spotify.com/track/2j8E9m3kDHfxFnGhN4fXaC,3
Love You Anyway,Luke Combs,0.532,0.489,-7.419,0.031,0.149,0.0,0.32,https://open.spotify.com/track/3qXsX3mYSsD1DmAvc3PE3N,4
Wild Thoughts (feat. Rihanna & Bryson Tiller),"DJ Khaled, Rihanna, Bryson Tiller",0.671,0.672,-3.094,0.069,0.033,0.0,0.632,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0
Disturbia,Rihanna,0.703,0.813,-4.517,0.057,0.088,0.0,0.717,https://open.spotify.com/track/30VrBsh1STRBoIrhQOAwzK,0
Pon de Replay,Rihanna,0.756,0.632,-8.441,0.164,0.0,0.001,0.505,https://open.spotify.com/track/3U3Ff8ZvL6oEu1r98gCCWW,3
This Is What You Came For,Calvin Harris Rihanna,0.631,0.927,-2.787,0.033,0.199,0.119,0.465,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,4
This Is What You Came For (feat. Rihanna),Calvin Harris,0.631,0.927,-2.787,0.033,0.199,0.119,0.465,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,4
What's My me?,"Rihanna, Drake",0.689,0.784,-2.972,0.074,0.182,0.0,0.561,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ,0
Atlantis,Seafret,0.4,0.479,-7.989,0.031,0.053,0.0,0.213,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE,4
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",0.773,0.795,-5.537,0.041,0.059,0.002,0.649,https://open.spotify.com/track/0CtZpaOhtzvLV3FfcsVpQo,0
Jhoome Jo Pathaan,"Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",0.817,0.738,-7.639,0.075,0.096,0.0,0.616,https://open.spotify.com/track/6FAYpZ4jve8vpvTwUvjK6H,0
A Culpa É Nossa - Ao Vivo,Maiara & Maraisa,0.596,0.85,-4.528,0.052,0.608,0.0,0.531,https://open.spotify.com/track/7nwHsYxiuHo98dLI7UVkyn,0
Party In The U.S.A.,Miley Cyrus,0.652,0.698,-4.667,0.042,0.001,0.0,0.47,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr,4
PUNTO 40,"Rauw Alejandro, Baby Rasta",0.857,0.829,-0.000484,0.084,0.001,0.015,0.208,https://open.spotify.com/track/4UGqAW9i7NtE5mW9xzm6yk,0
Running Out Of Time,Paramore,0.736,0.534,-0.00922,0.037,0.043,0.004,0.552,https://open.spotify.com/track/5NRtdsFFlmyE8qDMgS08PE,0
Special (feat. SZA),"Lizzo, SZA",0.464,0.724,-5.019,0.071,0.019,0.0,0.303,https://open.spotify.com/track/0rc1HCVoReqzzXF9jssqZk,4
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",0.463,0.642,-4.474,0.34,0.314,0.0,0.339,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,1
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",0.741,0.691,-7.395,0.067,0.022,0.0,0.892,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,0
TV,Billie Eilish,0.412,0.236,-15.159,0.038,0.83,0.007,0.119,https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw,2
Boy With Luv (feat. Halsey),"BTS, Halsey",0.645,0.862,-4.761,0.085,0.093,0.0,0.803,https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI,0
Sugar Rush Ride,TOMORROW X TOGETHER,0.712,0.893,-3.995,0.085,0.008,0.0,0.828,https://open.spotify.com/track/0rhI6gvOeCKA502RdJAbfs,0
How Do I Say Goodbye,Dean Lewis,0.4,0.641,-6.303,0.067,0.214,0.0,0.393,https://open.spotify.com/track/1aOl53hkZGHkl2Snhr7opL,4
Komet,"Udo Lindenberg, Apache 207",0.55,0.5,-5.779,0.045,0.285,0.0,0.351,https://open.spotify.com/track/7oQepKHmXDaPC3rgeLRvQu,4
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,-8.271,0.047,0.023,0.0,0.09,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,4
THE LONELIEST,Måneskin,0.525,0.599,-5.001,0.028,0.002,0.0,0.226,https://open.spotify.com/track/7exHT4swWOKL5addPeqkLP,4
Attention,NewJeans,0.811,0.648,-3.684,0.037,0.236,0.0,0.695,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,0
Billete Grande (En Vivo),"Fuerza Regida, Edgardo Nuñez",0.751,0.601,-5.912,0.083,0.533,0.0,0.56,https://open.spotify.com/track/3XfUFGzbr0LmwFVoLXd9cO,3
WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,"TWISTED, Oliver Tree",0.604,0.601,-7.887,0.063,0.15,0.001,0.156,https://open.spotify.com/track/5Zlb01Jcn0Ld49zazzZJSB,4
ULALA (OOH LA LA),"Myke Towers, Daddy Yankee",0.872,0.681,-4.348,0.11,0.046,0.0,0.481,https://open.spotify.com/track/4EQOGfssbSpTlV6EZRtrSv,3
AHORA QUÉ,Quevedo,0.447,0.765,-5.457,0.094,0.212,0.0,0.542,https://open.spotify.com/track/5qP24CrDI0rmY5zwRvUfzU,4
Die For You,Joji,0.472,0.518,-7.379,0.051,0.383,0.127,0.154,https://open.spotify.com/track/26hOm7dTtBi0TdpDGl141t,2
Dream On,Aerosmith,0.393,0.433,-10.045,0.026,0.39,0.0,0.238,https://open.spotify.com/track/3tAQNhm1o0kzldsI5QkrB1,2
Bad Habits,Ed Sheeran,0.807,0.893,-3.745,0.035,0.045,0.0,0.537,https://open.spotify.com/track/6ex1Pz3pntgy4NPtxHXN2V,0
Doja,Central Cee,0.911,0.573,-0.00743,0.288,0.38,0.0,0.972,https://open.spotify.com/track/3LtpKP5abr2qqjunvjlX5i,0
Till I Collapse,"Eminem, Nate Dogg",0.548,0.847,-3.237,0.186,0.062,0.0,0.1,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,4
'Till I Collapse,"Eminem, Nate Dogg",0.548,0.847,-3.237,0.186,0.062,0.0,0.1,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,4
Flow Espacial,"Teto, WIU, Matuê",0.712,0.685,-6.099,0.182,0.019,0.0,0.454,https://open.spotify.com/track/4qDT0BeJ7BjatrN9k8AvB4,3
Evergreen (You Didn't Deserve Me At All),Omar Apollo,0.697,0.336,-10.395,0.042,0.598,0.005,0.31,https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33,2
I Wish you Roses,Kali Uchis,0.467,0.624,-8.511,0.051,0.143,0.001,0.31,https://open.spotify.com/track/6BQrmjAgPfPTwILoFEK3Hd,4
Tinnitus (Wan be a rock),TOMORROW X TOGETHER,0.9,0.725,-6.213,0.135,0.179,0.001,0.791,https://open.spotify.com/track/0f0SbtoKGe41cX5LzlnX6X,0
Evoque Prata,"MC MENOR HR, MC MENOR SG, DJ ESCOBAR",0.872,0.519,-4.467,0.244,0.306,0.0,0.52,https://open.spotify.com/track/1597vvneWf0zoQrg2D8yH6,1
Gatita,Bellakath,0.895,0.847,-0.00525,0.052,0.16,0.223,0.735,https://open.spotify.com/track/4ilZV1WNjL7IxwE81OnaRY,0
Devil by the Window,TOMORROW X TOGETHER,0.536,0.596,-5.799,0.098,0.059,0.0,0.643,https://open.spotify.com/track/53H3sGmqiXWO4MwuZAJfyn,4
Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,"Guilherme & Benuto, Hugo & Guilherme",0.714,0.748,-4.605,0.068,0.59,0.0,0.698,https://open.spotify.com/track/1ELsaYdj2NlxLvkx9g24xZ,0
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,-5.892,0.071,0.284,0.0,0.758,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,0
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",0.778,0.824,-5.892,0.071,0.284,0.0,0.758,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,0
PANTIES Y BRASIERES,"Rauw Alejandro, Daddy Yankee",0.758,0.888,-2.851,0.071,0.34,0.001,0.408,https://open.spotify.com/track/4uVEdikP5eLUy8Dq6gjiPV,0
Dawns (feat. Maggie Rogers),"Zach Bryan, Maggie Rogers",0.447,0.441,-7.658,0.046,0.874,0.0,0.286,https://open.spotify.com/track/42TtHTxWk782ZBiqyOi2d1,2
"Farewell, Neverland",TOMORROW X TOGETHER,0.615,0.645,-0.00587,0.134,0.357,0.0,0.787,https://open.spotify.com/track/43mnNatwMMydJ4CxMdQVnJ,0
GOSSIP (feat. Tom Morello),"Måneskin, Tom Morello",0.704,0.819,-2.974,0.063,0.002,0.0,0.914,https://open.spotify.com/track/44Xyja7xYPlVC6v2CeweSi,0
Happy Fools (feat. Coi Leray),"TOMORROW X TOGETHER, Coi Leray",0.698,0.742,-5.366,0.251,0.158,0.0,0.545,https://open.spotify.com/track/77LZvE2XLYn2AW55UxIG8H,1
Running Up That Hill (A Deal With God),Kate Bush,0.629,0.547,-13.123,0.055,0.72,0.003,0.197,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,2
the BLACK seminole.,Lil Yachty,0.302,0.557,-5.737,0.033,0.063,0.344,0.103,https://open.spotify.com/track/1rydhdFtKe2CRkiaVb7aGF,4
Where Are You Now,"Lost Frequencies, Calum Scott",0.671,0.636,-8.117,0.103,0.515,0.0,0.262,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,3
Blind,SZA,0.461,0.279,-11.776,0.037,0.911,0.0,0.599,https://open.spotify.com/track/2CSRrnOEELmhpq8iaAi9cd,2
Super Freaky Girl,Nicki Minaj,0.951,0.878,-2.565,0.211,0.051,0.0,0.923,https://open.spotify.com/track/2yjlYDiNiQkdxVqTlaSrlX,0
Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",0.607,0.767,-6.069,0.047,0.118,0.0,0.662,https://open.spotify.com/track/3rb0tMq42WfggucPm0HHkA,0
Limbo,Freddie Dredd,0.802,0.623,-5.862,0.459,0.029,0.055,0.457,https://open.spotify.com/track/37F7E7BKEw2E4O2L7u0IEp,1
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Metro Boomin, Travis Scott, 21 Savage",0.671,0.658,-5.567,0.309,0.189,0.0,0.257,https://open.spotify.com/track/4WuOWVnAqvEQxgSRrspBgt,1
KNIGHT CRAWLER (feat. Juice WRLD),"Trippie Redd, Juice WRLD",0.679,0.769,-3.539,0.24,0.054,0.0,0.424,https://open.spotify.com/track/3fNMgjG8yXaSam46swhz7w,1
Sie weiß (feat. Mero),"AYLIVA, MERO",0.792,0.679,-5.516,0.041,0.517,0.0,0.204,https://open.spotify.com/track/7DyDjhZMEIK5Ied4juTCyc,3
Agudo Mágico 3,"MC K.K, Dj TG Beats, Dj Aurélio, MC Lipivox",0.649,0.797,-2.405,0.05,0.221,0.035,0.49,https://open.spotify.com/track/6Hio4nlyWL2WBL8nYlbuGt,0
Eres Ese Algo,La Maquiria Norteña,0.722,0.76,-5.427,0.05,0.468,0.001,0.793,https://open.spotify.com/track/6rOy9SIawgruuIWLP5divC,0
Kesariya,"Pritam, Arijit Singh, Amitabh Bhattacharya",0.577,0.574,-6.525,0.028,0.572,0.0,0.436,https://open.spotify.com/track/4UMIv5jd9gK98a39BQRD9X,2
SIN SEÑAL,"Quevedo, Ovy On The Drums",0.822,0.851,-3.314,0.042,0.333,0.008,0.749,https://open.spotify.com/track/3pjvkWO9fqiRRBE1tDLu3S,0
F64,Ed Sheeran,0.751,0.618,-6.643,0.324,0.596,0.0,0.707,https://open.spotify.com/track/5DFi6D7SrYHRIgZbY5MqqE,1
YANKEE,Quevedo,0.544,0.747,-4.659,0.194,0.389,0.0,0.476,https://open.spotify.com/track/0FirgnvrpCkkhdaq64Gfen,4
cómo dormiste?,Rels B,0.627,0.429,-8.255,0.234,0.238,0.0,0.565,https://open.spotify.com/track/3fjN3y5x4hN53rykAN2LHQ,1
drivers license,Olivia Rodrigo,0.561,0.431,-0.00881,0.058,0.768,0.0,0.137,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,2
Good Days,SZA,0.461,0.651,-0.00881,0.057,0.418,0.0,0.383,https://open.spotify.com/track/4PMqSO5qyjpvzhlLI5GnID,4
KICK BACK,Kenshi Yonezu,0.577,0.941,-0.00517,0.105,0.002,0.0,0.292,https://open.spotify.com/track/3khEEPRyBeOUabbmOPJzAG,4
Memories,Maroon 5,0.775,0.327,-7.241,0.056,0.841,0.0,0.595,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,2
Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",0.781,0.67,-3.912,0.045,0.01,0.0,0.595,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,0
Shallow,"Lady Gaga, Bradley Cooper",0.572,0.385,-6.362,0.031,0.371,0.0,0.323,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2
Wrecking Ball,Miley Cyrus,0.53,0.422,-6.262,0.034,0.407,0.0,0.349,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,2
Gilded Lily,Cults,0.4,0.571,-6.534,0.029,0.468,0.0,0.146,https://open.spotify.com/track/3Z0qLOS0cqWKPHXkbTXmNF,4
Shut up My Moms Calling - (Sped Up),Hotel Ugly,0.653,0.474,-10.899,0.103,0.312,0.0,0.361,https://open.spotify.com/track/31mzt4ZV8C0f52pIz1NSwd,3
Stay With Me,Sam Smith,0.418,0.42,-6.444,0.041,0.588,0.0,0.184,https://open.spotify.com/track/5MxWTfmlmRDx6VZHvB9xV8,2
Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",0.601,0.794,-5.844,0.067,0.01,0.0,0.244,https://open.spotify.com/track/02dRkCEc8Q5ch4TTcnLxOn,4
Antidepresan,"Mert Demir, Mabel Matiz",0.7,0.589,-9.974,0.028,0.03,0.0,0.915,https://open.spotify.com/track/4OH5Cd8ZOI1eSgJSC9PYmU,0
El Rescate,"Grupo Marca Registrada, Junior H",0.794,0.594,-8.698,0.139,0.283,0.0,0.637,https://open.spotify.com/track/4w273WCBXwM4P3jTX5HkB2,3
Ferrari,"James Hype, Miggy Dela Rosa",0.847,0.69,-7.877,0.049,0.013,0.0,0.692,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,0
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",0.702,0.825,-3.787,0.06,0.009,0.0,0.915,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,0
Pepas,Farruko,0.762,0.766,-3.955,0.034,0.008,0.0,0.442,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,0
Cookies N' Cream (feat. ANNA & Sfera Ebbasta),"Guè, AN, Sfera Ebbasta",0.572,0.66,-5.375,0.244,0.37,0.0,0.581,https://open.spotify.com/track/1xUnvxp9DFrpwXnO0RHKUp,1
Gimme (feat. Koffee & Jessie Reyez),"Sam Smith, Koffee, Jessie Reyez",0.682,0.446,-8.152,0.06,0.1,0.002,0.746,https://open.spotify.com/track/7o44vqiznJAsLZpSZwtCkV,3
Rumble,"Skrillex, Fred again.., Flowdan",0.81,0.836,-7.721,0.065,0.052,0.229,0.059,https://open.spotify.com/track/1GfBLbAhZUWdseuDqhocmn,4
