Title,Artists,Danceability,Energy,Loudness_fixed,Speechiness,Acousticness,Instrumentalness,Valence,Song URL,Cluster
Dance The Night (From Barbie The Album),Dua Lipa,0.671,0.845,-0.00493,0.048,0.021,0.0,0.775,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA,0
Moonlight,Kali Uchis,0.642,0.706,-6.872,0.052,0.518,0.0,0.896,https://open.spotify.com/track/0JmnkIqdlnUzPaf8sqBRs3,0
Tattoo,Loreen,0.545,0.779,-6.235,0.075,0.243,0.0,0.303,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6,4
Another Love,Tom Odell,0.442,0.538,-0.00855,0.045,0.717,0.0,0.139,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,4
golden hour,JVKE,0.515,0.593,-4.801,0.032,0.653,0.162,0.153,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg,2
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",0.551,0.55,-5.339,0.029,0.777,0.0,0.342,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN,2
Starboy,"The Weeknd, Daft Punk",0.679,0.587,-7.015,0.276,0.141,0.0,0.486,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,1
Like Crazy,Jimin,0.629,0.733,-5.445,0.042,0.003,0.0,0.362,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR,4
AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",0.772,0.73,-6.657,0.097,0.152,0.0,0.786,https://open.spotify.com/track/1lRtH4FszTrwwlK5gTSbXO,0
Yellow,Coldplay,0.429,0.661,-7.227,0.028,0.002,0.0,0.285,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,4
Por las Noches,Peso Pluma,0.807,0.595,-0.00719,0.033,0.31,0.0,0.392,https://open.spotify.com/track/2VzCjpKvPB1l1tqLndtAQa,3
La Bachata,Manuel Turizo,0.835,0.679,-5.329,0.036,0.583,0.0,0.85,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ,0
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",0.712,0.463,-7.399,0.08,0.011,0.0,0.206,https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT,3
"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap, Shakira",0.778,0.632,-0.0056,0.049,0.274,0.0,0.498,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe,0
Blank Space,Taylor Swift,0.76,0.703,-5.412,0.054,0.103,0.0,0.57,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,0
Hey Mor,"Ozuna, Feid",0.901,0.589,-6.713,0.289,0.003,0.0,0.399,https://open.spotify.com/track/1zsPaEkglFvxjAhrM8yhpr,1
Frágil,"Yahritza Y Su Esencia, Grupo Frontera",0.605,0.726,-4.515,0.031,0.365,0.0,0.393,https://open.spotify.com/track/4JdSXF2p71cr8uCY3UiJM0,4
Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift, Lana Del Rey",0.664,0.401,-10.934,0.034,0.806,0.0,0.315,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot,2
Coco Chanel,"Eladio Carrion, Bad Bunny",0.683,0.764,-5.995,0.044,0.043,0.0,0.137,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS,4
Blinding Lights,The Weeknd,0.514,0.73,-5.934,0.06,0.001,0.0,0.334,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,4
Viva La Vida,Coldplay,0.486,0.617,-7.115,0.029,0.095,0.0,0.417,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,4
Mockingbird,Eminem,0.637,0.678,-3.798,0.266,0.209,0.0,0.254,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s,1
cardigan,Taylor Swift,0.613,0.581,-8.588,0.042,0.537,0.0,0.551,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,3
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",0.602,0.91,-3.404,0.031,0.001,0.0,0.228,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,4
Heat Waves,Glass Animals,0.761,0.525,-0.0069,0.094,0.44,0.0,0.531,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,0
Sweater Weather,The Neighbourhood,0.612,0.807,-0.00281,0.034,0.05,0.018,0.398,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,4
Money Trees,"Kendrick Lamar, Jay Rock",0.716,0.531,-7.355,0.122,0.07,0.0,0.344,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,3
Style,Taylor Swift,0.588,0.791,-5.595,0.04,0.002,0.003,0.487,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e,4
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",0.615,0.616,-6.523,0.062,0.062,0.0,0.073,https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y,4
Tak Segampang Itu,Anggi Marito,0.506,0.438,-7.069,0.027,0.759,0.0,0.178,https://open.spotify.com/track/26cvTWJq2E1QqN4jyH2OTU,2
Dandelions,Ruth B.,0.609,0.692,-2.958,0.026,0.016,0.0,0.454,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",0.636,0.869,-5.289,0.041,0.038,0.045,0.306,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ,4
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",0.621,0.782,-5.548,0.044,0.013,0.033,0.55,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,4
Me Porto Bonito,"Bad Bunny, Chencho Corleone",0.911,0.712,-5.105,0.082,0.09,0.0,0.425,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,3
Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.0,0.392,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,4
Abcdario,"Eden Muñoz, Junior H",0.703,0.429,-9.076,0.031,0.783,0.0,0.416,https://open.spotify.com/track/0qCPD6ilr9nXkI4KVZgcns,2
Enchanted,Taylor Swift,0.535,0.618,-3.913,0.027,0.072,0.0,0.228,https://open.spotify.com/track/3sqrvkNC6IPTIXvvbx9Arw,4
Bones,Imagine Dragons,0.772,0.75,-0.00367,0.046,0.02,0.0,0.587,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,0
Karma,Taylor Swift,0.642,0.62,-7.091,0.067,0.073,0.0,0.097,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf,4
OMG,NewJeans,0.804,0.771,-4.067,0.043,0.357,0.0,0.739,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",0.881,0.592,-4.898,0.032,0.619,0.0,0.719,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo,0
FLOWER,JISOO,0.841,0.384,-7.684,0.035,0.024,0.0,0.597,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s,3
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",0.591,0.764,-5.484,0.048,0.038,0.0,0.478,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,4
El Gordo Trae El Mando,Chino Pacas,0.736,0.8,-0.00538,0.053,0.179,0.0,0.961,https://open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA,0
Chanel,"Becky G, Peso Pluma",0.852,0.675,-5.738,0.036,0.397,0.003,0.528,https://open.spotify.com/track/5RcxRGvmYai7kpFSfxe5GY,3
Those Eyes,New West,0.593,0.352,-8.296,0.028,0.695,0.0,0.226,https://open.spotify.com/track/50x1Ic8CaXkYNvjmxe3WXy,2
Escapism.,"RAYE, 070 Shake",0.538,0.742,-5.355,0.114,0.138,0.0,0.25,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp,4
AMARGURA,KAROL G,0.92,0.696,-3.356,0.074,0.183,0.0,0.545,https://open.spotify.com/track/505v13epFXodT9fVAJ6h8k,0
Bye,Peso Pluma,0.782,0.812,-6.613,0.047,0.567,0.0,0.7,https://open.spotify.com/track/6n2P81rPk2RTzwnNNgFOdb,0
Fin de Semana,"Oscar Maydon, Junior H",0.699,0.541,-4.943,0.083,0.063,0.0,0.365,https://open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p,3
Bite Me,ENHYPEN,0.795,0.781,-4.647,0.141,0.285,0.0,0.687,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa,0
Set Fire to the Rain,Adele,0.603,0.67,-3.882,0.025,0.004,0.0,0.446,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx,4
La Jumpa,"Arcángel, Bad Bunny",0.887,0.234,-0.01452,0.178,0.111,0.67,0.197,https://open.spotify.com/track/2mnXxnrX5vCGolNkaFvVeM,3
Chemical,Post Malone,0.498,0.897,-4.907,0.045,0.001,0.0,0.373,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu,4
Feliz Cumpleaños Ferxxo,Feid,0.865,0.573,-5.501,0.068,0.086,0.0,0.563,https://open.spotify.com/track/2CeKVsFFXG4QzA415QygGb,3
Summertime Sadness,Lana Del Rey,0.568,0.646,-6.793,0.033,0.046,0.0,0.211,https://open.spotify.com/track/1FEiijYPJtyswChfcpv3p0,4
Eyes Closed,Ed Sheeran,0.793,0.52,-7.457,0.07,0.246,0.0,0.309,https://open.spotify.com/track/3p7XQpdt8Dr6oMXSvRZ9bg,3
Perfect,Ed Sheeran,0.599,0.448,-6.312,0.023,0.163,0.0,0.168,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,4
Romantic Homicide,d4vd,0.571,0.544,-10.613,0.03,0.453,0.008,0.216,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,2
Under The Influence,Chris Brown,0.733,0.69,-5.529,0.043,0.064,0.0,0.31,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,3
